numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14151,AGUARA INTA,LINO,,Linum usitatissimum L.,OL,2013-04-29,2013-04-29,2033-04-29,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA
14152,GEMINIS INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14153,AGRONALES INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14154,YAGUARETE INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14155,LOS ARROYOS INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14156,LEZAMA INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14157,IBICUY INTA-CIEF,SAUCE,,Salix matsudana x S. alba,FT,2013-04-19,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14159,TALKEM DP,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-09,,,ARG,,,,FLAVIA MARINA RAMAYAL,BARAVALLE  LOPEZ JULIO CESAR,,
14160,LT790MGRR2,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-04,,,ARG,TR,MON-ØØ6Ø3-6 x MON-ØØ81Ø-6,Tolerancia a Glifosato y Resistencia a Lepidópteros ,AGRO BAYER S.R.L.,ARANCEDO ALVAREZ MIGUEL,,
14161,DK73-60VT3P,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-04,,,ARG,TR,MON-89Ø34-3 x MON-88Ø17-3,Tolerancia a Glifosato y Resistencia a Lepidópteros y Coleópteros ,AGRO BAYER S.R.L.,ARANCEDO ALVAREZ MIGUEL,,
14162,DK919,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-19,,,BRA,,,,AGRO BAYER S.R.L.,ARANCEDO ALVAREZ MIGUEL,,
14163,PD 7318LC,TABACO,,Nicotiana tabacum L.,CI,2012-11-01,,,UN3,,,,ALLIANCE ONE TOBACCO ARG. SA,JAMES ALAN,,
14164,PD 7309LC,TABACO,,Nicotiana tabacum L.,CI,2012-11-01,,,UN3,,,,ALLIANCE ONE TOBACCO ARG. SA,JAMES ALAN,,
14165,BIBO,BERENJENA,HIBRIDO,Solanum melongena L.,HT,2012-11-01,,,UN3,,,,AGRO BAYER S.R.L.,ARANCEDO ALVAREZ MIGUEL,,
14166,PREMA280,MANZANO,,Malus domestica Borkh,FR,2015-05-04,2015-05-04,2035-05-04,NE2,,,,PREVAR LIMITED,LOS ALAMOS DE ROSAUER SA,PREVAR LIMITED,LOS ALAMOS DE ROSAUER SOC ANON     AGROP IND INMOB Y COM 
14167,ENCALILLA ALARGADO INTA,PIMIENTO,VARIEDAD,Capsicum annuum L.,HT,2012-11-01,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE ARTURO ENRIQUE,,
14177,SRM 4222,SOJA,,Glycine max (L.) Merrill,OL,2015-07-06,2015-08-31,2035-08-31,ARG,IV - TR,MON-Ø4Ø32-6,Tolerancia a Glifosato,LIMAGRAIN ARGENTINA SEMILLAS S.A.,MIGUEL JUAN POTOCNIK,LIMAGRAIN ARGENTINA SEMILLAS S.A.,MIGUEL JUAN POTOCNIK
14178,4301,SOJA,,Glycine max (L.) Merrill,OL,2018-10-09,2018-11-20,2038-11-20,ARG,IV - TR,MON-Ø4Ø32-6,Tolerancia a Glifosato,LIMAGRAIN ARGENTINA SEMILLAS S.A.,QUENTIN ALEJANDRO OCTAVIO,LIMAGRAIN ARGENTINA SEMILLAS S.A.,QUENTIN ALEJANDRO OCTAVIO
